dct:identifier	xsd:anyURI, xsd:string		An unambiguous reference to the resource within a given context.
rdfs:label	xsd:string		A human-readable name for the entity
TerraCore:hasCrossReference	xsd:anyURI, xsd:string		Reference to the entity in another electronic system.  The data stored about the entity may vary from system to system, but this relationship asserts that the reference represents the same entity.
TerraCore:hasBioSampleType	xsd:string	See ValueSets	
TerraCore:wasDerivedFrom	TerraCore:BioSample		
TerraCore:hasDisease	TerraCore:OntologyReference		A property that identifies a disease or condition has been reported in this entity.
TerraCore:hasDevelopmentalStage	xsd:string	See ValueSets	
TerraCore:hasDataCollected	xsd:date		Date the BioSample was originally collected from its Donor.
TerraCore:hasPreservationState	xsd:string	See ValueSets	
TerraCore:hasAnatomicalSite	xsd:anyURI		A reference to the site within the organism from which the BioSample was taken.
TerraCore:hasSelectedCellType	CL:0000003 [Cell Ontology, "native cell"]		
prov:wasUsedBy	TerraCore:Activity, TerraCore:Assay		
Age_hasAgeUnit		See ValueSets	
Age_hasAgeCategory		See ValueSets	
Age_hasLifestage		See ValueSets	
Age_hasLowerBound	xsd:decimal		
Age_hasUpperBound	xsd:decimal		
TerraCore:hasDonor	TerraCore:Donor		This property references the Donor organism from which the BioSample was acquired.
dct:isPartOf 	TerraDCAT_ap:Dataset		A related resource in which the described resource is physically or logically included. {@en-US}
